sensor_id,time,x,y,temperature
0,0.0,-0.5,-0.25,0.8488510267327973
0,0.048,-0.5,-0.25,0.8427954809233463
0,0.096,-0.5,-0.25,0.8368275281111224
0,0.14400000000000002,-0.5,-0.25,0.8309455198006883
0,0.192,-0.5,-0.25,0.8251478486571161
0,0.24,-0.5,-0.25,0.8194329469049809
0,0.28800000000000003,-0.5,-0.25,0.8137992848049654
0,0.336,-0.5,-0.25,0.8082453691671078
0,0.384,-0.5,-0.25,0.8027697414805149
0,0.432,-0.5,-0.25,0.7973709740314012
0,0.48,-0.5,-0.25,0.7920476614042198
0,0.528,-0.5,-0.25,0.786798406225856
0,0.5760000000000001,-0.5,-0.25,0.7816218013554681
0,0.624,-0.5,-0.25,0.7765164130249529
0,0.672,-0.5,-0.25,0.7714807692082617
0,0.72,-0.5,-0.25,0.7665133555269833
0,0.768,-0.5,-0.25,0.7616126187547758
0,0.8160000000000001,-0.5,-0.25,0.7567769764013164
0,0.864,-0.5,-0.25,0.7520048301619328
0,0.912,-0.5,-0.25,0.7472945810227939
0,0.96,-0.5,-0.25,0.742644644211605
0,1.008,-0.5,-0.25,0.7380534627259638
0,1.056,-0.5,-0.25,0.7335195186952201
0,1.104,-0.5,-0.25,0.7290413422590925
0,1.1520000000000001,-0.5,-0.25,0.7246175179552573
0,1.2,-0.5,-0.25,0.7202466888069992
0,1.248,-0.5,-0.25,0.7159275584120094
0,1.296,-0.5,-0.25,0.7116588913784134
0,1.344,-0.5,-0.25,0.7074395124554824
0,1.3920000000000001,-0.5,-0.25,0.703268304681301
0,1.44,-0.5,-0.25,0.6991442068304358
0,1.488,-0.5,-0.25,0.6950662103999801
0,1.536,-0.5,-0.25,0.691033356327734
0,1.584,-0.5,-0.25,0.6870447315949326
0,1.6320000000000001,-0.5,-0.25,0.6830994658295027
0,1.68,-0.5,-0.25,0.6791967279948992
0,1.728,-0.5,-0.25,0.6753357232240959
0,1.776,-0.5,-0.25,0.6715156898378738
0,1.824,-0.5,-0.25,0.6677358965705495
0,1.872,-0.5,-0.25,0.6639956400140754
0,1.92,-0.5,-0.25,0.660294242282368
0,1.968,-0.5,-0.25,0.6566310488911904
0,2.016,-0.5,-0.25,0.6530054268443984
0,2.064,-0.5,-0.25,0.6494167629144358
0,2.112,-0.5,-0.25,0.6458644621032242
0,2.16,-0.5,-0.25,0.6423479462687719
0,2.208,-0.5,-0.25,0.6388666529026571
0,2.2560000000000002,-0.5,-0.25,0.6354200340438378
0,2.3040000000000003,-0.5,-0.25,0.6320075553148635
0,2.352,-0.5,-0.25,0.6286286950673821
0,2.4,-0.5,-0.25,0.6252829436247856
0,2.448,-0.5,-0.25,0.6219698026108307
0,2.496,-0.5,-0.25,0.6186887843540821
0,2.544,-0.5,-0.25,0.615439411359016
0,2.592,-0.5,-0.25,0.6122212158355627
0,2.64,-0.5,-0.25,0.6090337392797563
0,2.688,-0.5,-0.25,0.6058765320989818
0,2.736,-0.5,-0.25,0.6027491532760647
0,2.7840000000000003,-0.5,-0.25,0.5996511700671333
0,2.832,-0.5,-0.25,0.5965821577288045
0,2.88,-0.5,-0.25,0.5935416992707949
0,2.928,-0.5,-0.25,0.5905293852305603
0,2.976,-0.5,-0.25,0.5875448134669972
0,3.024,-0.5,-0.25,0.584587588970638
0,3.072,-0.5,-0.25,0.581657323688108
0,3.12,-0.5,-0.25,0.5787536363589117
0,3.168,-0.5,-0.25,0.5758761523628885
0,3.216,-0.5,-0.25,0.573024503576894
0,3.2640000000000002,-0.5,-0.25,0.5701983282394798
0,3.3120000000000003,-0.5,-0.25,0.567397270822504
0,3.36,-0.5,-0.25,0.5646209819087694
0,3.408,-0.5,-0.25,0.5618691180749068
0,3.456,-0.5,-0.25,0.5591413417788422
0,3.504,-0.5,-0.25,0.556437321251282
0,3.552,-0.5,-0.25,0.5537567303907323
0,3.6,-0.5,-0.25,0.5510992486616465
0,3.648,-0.5,-0.25,0.5484645609953532
0,3.696,-0.5,-0.25,0.5458523576934716
0,3.744,-0.5,-0.25,0.5432623343335689
0,3.7920000000000003,-0.5,-0.25,0.5406941916768508
0,3.84,-0.5,-0.25,0.5381476355777131
0,3.888,-0.5,-0.25,0.5356223768950045
0,3.936,-0.5,-0.25,0.5331181314048835
0,3.984,-0.5,-0.25,0.5306346197151661
0,4.032,-0.5,-0.25,0.5281715671810802
0,4.08,-0.5,-0.25,0.5257287038223574
0,4.128,-0.5,-0.25,0.5233057642416068
0,4.176,-0.5,-0.25,0.5209024875439211
0,4.224,-0.5,-0.25,0.5185186172576787
0,4.272,-0.5,-0.25,0.5161539012565093
0,4.32,-0.5,-0.25,0.5138080916823976
0,4.368,-0.5,-0.25,0.5114809448699051
0,4.416,-0.5,-0.25,0.5091722212714912
0,4.464,-0.5,-0.25,0.5068816853839208
0,4.5120000000000005,-0.5,-0.25,0.5046091056757469
0,4.5600000000000005,-0.5,-0.25,0.5023542545158594
0,4.6080000000000005,-0.5,-0.25,0.5001169081030892
0,4.656,-0.5,-0.25,0.49789684639686393
0,4.704,-0.5,-0.25,0.49569385304890723
0,4.752,-0.5,-0.25,0.4935077153359761
0,4.8,-0.5,-0.25,0.49133822409363137
0,4.848,-0.5,-0.25,0.48918517365103575
